wordInSourceText;showWord;start;end;minutes;seconds;milliseconds;startTS;endTS;;
2°C scenario;2°C Szenario;00:00:28.30;00:00:33.30;0;28;3;28030;33030;ok;
warming;Erwärmung;00:00:56.370;00:01:01.370;0;56;37;56370;61370;ok;
Paris agreement;Übereinkommen von Paris;00:01:16.530;00:01:21.530;1;16;53;76530;81530;ok;
2015;2015;00:01:17.700;00:01:22.700;1;17;70;77700;82700;Überlappung;
baseline preindustrial levels;vorindustrielles Niveau;00:01:34.930;00:01:39.930;1;34;93;94930;99930;ok;
1.5°C;1.5°C;00:01:47.570;00:01:52.570;1;47;57;107570;112570;ok;
1.5°C;1.5°C;00:02:23.930;00:02:28.930;2;23;93;143930;148930;ok;
1°C;1°C;00:02:25.170;00:02:30.170;2;25;17;145170;150170;Überlappung;
3°C;3°C;00:02:28.0;00:02:33.0;2;28;0;148000;153000;Überlappung;
precipitation;Niederschlag;00:03:12.400;00:03:17.400;3;12;40;192400;197400;ok;
extreme weather events;Extremwettereignisse;00:03:37.130;00:03:42.130;3;37;13;217130;222130;ok;
dry spell;Trockenperiode;00:03:45.300;00:03:50.300;3;45;30;225300;230300;ok;
drought periods;Dürre;00:03:50.630;00:03:55.630;3;50;63;230630;235630;ok;
variability;Schwankungsbreite;00:04:01.130;00:04:06.130;4;1;13;241130;246130;ok;
livestock;Viehzucht;00:04:17.430;00:04:22.430;4;17;43;257430;262430;ok;
thermal stress;Wärmestress;00:04:19.270;00:04:24.270;4;19;27;259270;264270;Überlappung;
forage availability;Verfügbarkeit von Futtermitteln;00:04:21.930;00:04:26.930;4;21;93;261930;266930;Überlappung;
marine resources;Meeresressourcen;00:04:28.970;00:04:33.970;4;28;97;268970;273970;ok;
hypoxia;Sauerstoffmangel;00:04:32.270;00:04:37.270;4;32;27;272270;277270;Überlappung;
coral bleaching;Korallenbleiche;00:04:35.970;00:04:40.970;4;35;97;275970;280970;Überlappung;
yield losses;Ernteverluste;00:04:56.70;00:05:01.70;4;56;7;296070;301070;ok;
pests;Pest;00:04:58.500;00:05:03.500;4;58;50;298500;303500;Überlappung;
social-ecological vulnerability;sozio-ökologische Vulnerabilität;00:05:06.230;00:05:11.230;5;6;23;306230;311230;ok;
small island development states;kleine Insel-Entwicklungsländer;00:05:20.370;00:05:25.370;5;20;37;320370;325370;ok;
7.5 million people;7.5 Mio. Menschen;00:05:24.700;00:05:29.700;5;24;70;324700;329700;Überlappung;
100 year extreme sea level;Jahrhunderthochwasser;00:05:28.530;00:05:33.530;5;28;53;328530;333530;Überlappung;
water ways;Wasserstrassen;00:05:49.930;00:05:54.930;5;49;93;349930;354930;ok;
knowledge and technology transfer;Wissens- und Technologietransfer;00:06:12.970;00:06:17.970;6;12;97;372970;377970;ok;
resource-efficient agriculture;ressourceneffiziente Landwirtschaft;00:06:21.900;00:06:26.900;6;21;90;381900;386900;ok;
socio-ecological resilience;sozio-ökologische Resilienz;00:06:24.970;00:06:29.970;6;24;97;384970;389970;Überlappung;
