wordInSourceText;showWord;start;end;minutes;seconds;seconds;milliseconds;startTS;endTS;;comment
2°C scenario;Käse;00:00:03.30;00:00:08.30;0;3;6;3;3030;8030;#BEZUG!;endTS=startTs+5000
2°C scenario;2°C Szenario;00:00:28.30;00:00:33.30;0;28;23;3;28030;33030;ok;endTS=startTs+5000
warming;Erwärmung;00:00:56.370;00:01:01.370;0;56;51;37;56370;61370;ok;
Paris agreement;Übereinkommen von Paris;00:01:16.530;00:01:21.530;1;16;11;53;76530;81530;ok;"onu: ""Übereinkommen von Paris 
        2015"""
2015;2015;00:01:17.700;00:01:22.700;1;17;12;70;77700;82700;Überlappung;
baseline preindustrial levels;vorindustrielles Niveau;00:01:34.930;00:01:39.930;1;34;29;93;94930;99930;ok;
1.5°C;1.5°C;00:01:47.570;00:01:52.570;1;47;42;57;107570;112570;ok;
1.5°C;1.5°C;00:02:23.930;00:02:28.930;2;23;18;93;143930;148930;ok;"onu ""1.5°C  
1°C 
3°C"
1°C;1°C;00:02:25.170;00:02:30.170;2;25;20;17;145170;150170;Überlappung;
3°C;3°C;00:02:28.0;00:02:33.0;2;28;23;0;148000;153000;Überlappung;
precipitation;Niederschlag;00:03:12.400;00:03:17.400;3;12;7;40;192400;197400;ok;
precipitation;Niederschlag;00:03:24.900;00:03:29.900;3;24;19;90;204900;209900;ok;
extreme weather events;Extremwettereignisse;00:03:37.130;00:03:42.130;3;37;32;13;217130;222130;ok;
dry spell;Trockenperiode;00:03:45.300;00:03:50.300;3;45;40;30;225300;230300;ok;
drought periods;Dürre;00:03:50.630;00:03:55.630;3;50;45;63;230630;235630;ok;
variability;Schwankungsbreite;00:04:01.130;00:04:06.130;4;1;56;13;241130;246130;ok;
livestock;Viehzucht;00:04:17.430;00:04:22.430;4;17;12;43;257430;262430;ok;"onu: ""Viezucht 
Wärmestress 
Verfügbarkeit von Futtermitteln"""
thermal stress;Wärmestress;00:04:19.270;00:04:24.270;4;19;14;27;259270;264270;Überlappung;
forage availability;Verfügbarkeit von Futtermitteln;00:04:21.930;00:04:26.930;4;21;16;93;261930;266930;Überlappung;
marine resources;Meeresressourcen;00:04:28.970;00:04:33.970;4;28;23;97;268970;273970;ok;"onu: ""Meeresresourcen
Sauerstoffmangel
Korallenbleiche"""
hypoxia;Sauerstoffmangel;00:04:32.270;00:04:37.270;4;32;27;27;272270;277270;Überlappung;
coral bleaching;Korallenbleiche;00:04:35.970;00:04:40.970;4;35;30;97;275970;280970;Überlappung;
coral bleaching;Korallenbleiche;00:04:43.230;00:04:48.230;4;43;38;23;283230;288230;ok;
yield losses;Ernteverluste;00:04:56.70;00:05:01.70;4;56;51;7;296070;301070;ok;"onu: ""Ernteverluste
Pest"""
pests;Pest;00:04:58.500;00:05:03.500;4;58;53;50;298500;303500;Überlappung;
social-ecological vulnerability;sozio-ökologische Vulnerabilität;00:05:06.230;00:05:11.230;5;6;1;23;306230;311230;ok;
small island development states;kleine Insel-Entwicklungsländer;00:05:20.370;00:05:25.370;5;20;15;37;320370;325370;ok;"onu: ""kleine Insel-Entwicklungsländer
7.5 Mio. Menschen
Jahrhunderthochwasser"""
7.5 million people;7.5 Mio. Menschen;00:05:24.700;00:05:29.700;5;24;19;70;324700;329700;Überlappung;
100 year extreme sea level;Jahrhunderthochwasser;00:05:28.530;00:05:33.530;5;28;23;53;328530;333530;Überlappung;
water ways;Wasserstrassen;00:05:49.930;00:05:54.930;5;49;44;93;349930;354930;ok;
knowledge and technology transfer;Wissens- und Technologietransfer;00:06:12.970;00:06:17.970;6;12;7;97;372970;377970;ok;
resource-efficient agriculture;ressourceneffiziente Landwirtschaft;00:06:21.900;00:06:26.900;6;21;16;90;381900;386900;ok;"onu: ""ressourceneffiziente Landwirtschaft
sizio-ökologische Resilienz"""
socio-ecological resilience;sozio-ökologische Resilienz;00:06:24.970;00:06:29.970;6;24;19;97;384970;389970;Überlappung;
