wordInSourceText;showWord;start;end;minutes;seconds;milliseconds;startTS;endTS;Überlappung;comment
neurodegenerative disease;neurodegenerative Erkrankungen;00:00:24.100;00:00:29.100;0;24;10;24100;29100;ok;
thermostats;Thermostaten;00:00:36.970;00:00:41.970;0;36;97;36970;41970;ok;
photographic image recording;digitale Bildformate;00:00:51.830;00:00:56.830;0;51;83;51830;56830;ok;
36 exposures;36 Bilder;00:00:57.430;00:01:02.430;0;57;43;57430;62430;ok;
$15;15 $;00:01:02.470;00:01:07.470;1;2;47;62470;67470;ok;
32 GB;32 GB;00:01:15.0;00:01:20.0;1;15;0;75000;80000;ok;
$9;9 $;00:01:18.870;00:01:23.870;1;18;87;78870;83870;Überlappung;
30'000 photographs;30 000 Fotos;00:01:21.130;00:01:26.130;1;21;13;81130;86130;Überlappung;
fixed format;Festplattenspeicher;00:01:37.170;00:01:42.170;1;37;17;97170;102170;ok;
1983;1983;00:01:39.330;00:01:44.330;1;39;33;99330;104330;Überlappung;
IBM PC 1;IBM PC 1;00:01:42.530;00:01:47.530;1;42;53;102530;107530;Überlappung;
10 MB;10 MB;00:01:50.830;00:01:55.830;1;50;83;110830;115830;ok;
$1000;1000 $;00:01:53.430;00:01:58.430;1;53;43;113430;118430;Überlappung;
1TB;1 TB;00:01:57.330;00:02:02.330;1;57;33;117330;122330;Überlappung;
$45;45 $;00:02:00.630;00:02:05.630;2;0;63;120630;125630;Überlappung;
computerized axial tomography;Computeraxialtomographie;00:02:19.730;00:02:24.730;2;19;73;139730;144730;ok;
CT;CT;00:02:24.600;00:02:29.600;2;24;60;144600;149600;Überlappung;
CT scanners;Comutertomograph;00:02:27.100;00:02:32.100;2;27;10;147100;152100;Überlappung;
Hounsfield;Hounsfield;00:02:30.530;00:02:35.530;2;30;53;150530;155530;Überlappung;
London;London;00:02:34.830;00:02:39.830;2;34;83;154830;159830;Überlappung;
Electrical and Music Industries;Electrical and Music Industries;00:02:36.70;00:02:41.70;2;36;7;156070;161070;Überlappung;
Beatles;Beatles;00:02:44.0;00:02:49.0;2;44;0;164000;169000;ok;
1979;1979;00:02:49.670;00:02:54.670;2;49;67;169670;174670;ok;
Hounsfield;Hounsfield;00:02:51.100;00:02:56.100;2;51;10;171100;176100;Überlappung;
Cromack;Cormack;00:02:54.430;00:02:59.430;2;54;43;174430;179430;Überlappung;
1970;;00:03:05.130;00:03:10.130;3;5;13;185130;190130;ok;
CT image;CT-Bild;00:03:09.700;00:03:14.700;3;9;70;189700;194700;Überlappung;
radiographic film;Röntgenfilm;00:03:17.0;00:03:22.0;3;17;0;197000;202000;ok;
radiology departments;Röntgenabteilung;00:03:28.70;00:03:33.70;3;28;7;208070;213070;ok;
image storing capacity;Speicherkapazität für Bilder;00:03:31.270;00:03:36.270;3;31;27;211270;216270;Überlappung;
voxel-based morphometry;Voxel-basierte Morphometrie;00:03:49.730;00:03:54.730;3;49;73;229730;234730;ok;
data pattern recognition;Mustererkennung;00:04:16.230;00:04:21.230;4;16;23;256230;261230;ok;
discrete patterns;diskrete Muster;00:04:19.670;00:04:24.670;4;19;67;259670;264670;Überlappung;
abscesses;Abzess;00:04:26.300;00:04:31.300;4;26;30;266300;271300;ok;
metastatic carcinoma;metastatisierendes Karzinom;00:04:28.70;00:04:33.70;4;28;7;268070;273070;Überlappung;
histological slide;Schnittpräparat;00:04:35.400;00:04:40.400;4;35;40;275400;280400;ok;
abscess;Abzess;00:04:38.630;00:04:43.630;4;38;63;278630;283630;Überlappung;
metastatic carcinoma;metastatisierendes Karzinom;00:04:39.970;00:04:44.970;4;39;97;279970;284970;Überlappung;
continuous pathologies;graduelle Pathologien;00:04:52.770;00:04:57.770;4;52;77;292770;297770;ok;
glioma progression;Progression eines Glioms;00:04:57.70;00:05:02.70;4;57;7;297070;302070;Überlappung;
histologic appearance;histologisches Erscheinungsbild;00:05:00.30;00:05:05.30;5;0;3;300030;305030;Überlappung;
histologic atypia;histologische Atypien;00:05:03.870;00:05:08.870;5;3;87;303870;308870;Überlappung;
neurodegenerative disease;neurodegenerative Erkrankungen;00:05:15.570;00:05:20.570;5;15;57;315570;320570;ok;
1970;1970;00:06:00.70;00:06:05.70;6;0;7;360070;365070;ok;
Newcastle;Newcastle;00:06:02.370;00:06:07.370;6;2;37;362370;367370;Überlappung;
